date,ConSIX
2015-01-01,98.1
2015-01-02,98.1
2015-01-03,98.1
2015-01-04,98.1
2015-01-05,98.1
2015-01-06,98.1
2015-01-07,98.1
2015-01-08,98.1
2015-01-09,98.1
2015-01-10,98.1
2015-01-11,98.1
2015-01-12,98.1
2015-01-13,98.1
2015-01-14,98.1
2015-01-15,98.1
2015-01-16,98.1
2015-01-17,98.1
2015-01-18,98.1
2015-01-19,98.1
2015-01-20,98.1
2015-01-21,98.1
2015-01-22,98.1
2015-01-23,98.1
2015-01-24,98.1
2015-01-25,98.1
2015-01-26,98.1
2015-01-27,98.1
2015-01-28,98.1
2015-01-29,98.1
2015-01-30,98.1
2015-01-31,98.1
2015-02-01,95.4
2015-02-02,95.4
2015-02-03,95.4
2015-02-04,95.4
2015-02-05,95.4
2015-02-06,95.4
2015-02-07,95.4
2015-02-08,95.4
2015-02-09,95.4
2015-02-10,95.4
2015-02-11,95.4
2015-02-12,95.4
2015-02-13,95.4
2015-02-14,95.4
2015-02-15,95.4
2015-02-16,95.4
2015-02-17,95.4
2015-02-18,95.4
2015-02-19,95.4
2015-02-20,95.4
2015-02-21,95.4
2015-02-22,95.4
2015-02-23,95.4
2015-02-24,95.4
2015-02-25,95.4
2015-02-26,95.4
2015-02-27,95.4
2015-02-28,95.4
2015-03-01,93.0
2015-03-02,93.0
2015-03-03,93.0
2015-03-04,93.0
2015-03-05,93.0
2015-03-06,93.0
2015-03-07,93.0
2015-03-08,93.0
2015-03-09,93.0
2015-03-10,93.0
2015-03-11,93.0
2015-03-12,93.0
2015-03-13,93.0
2015-03-14,93.0
2015-03-15,93.0
2015-03-16,93.0
2015-03-17,93.0
2015-03-18,93.0
2015-03-19,93.0
2015-03-20,93.0
2015-03-21,93.0
2015-03-22,93.0
2015-03-23,93.0
2015-03-24,93.0
2015-03-25,93.0
2015-03-26,93.0
2015-03-27,93.0
2015-03-28,93.0
2015-03-29,93.0
2015-03-30,93.0
2015-03-31,93.0
2015-04-01,95.9
2015-04-02,95.9
2015-04-03,95.9
2015-04-04,95.9
2015-04-05,95.9
2015-04-06,95.9
2015-04-07,95.9
2015-04-08,95.9
2015-04-09,95.9
2015-04-10,95.9
2015-04-11,95.9
2015-04-12,95.9
2015-04-13,95.9
2015-04-14,95.9
2015-04-15,95.9
2015-04-16,95.9
2015-04-17,95.9
2015-04-18,95.9
2015-04-19,95.9
2015-04-20,95.9
2015-04-21,95.9
2015-04-22,95.9
2015-04-23,95.9
2015-04-24,95.9
2015-04-25,95.9
2015-04-26,95.9
2015-04-27,95.9
2015-04-28,95.9
2015-04-29,95.9
2015-04-30,95.9
2015-05-01,90.7
2015-05-02,90.7
2015-05-03,90.7
2015-05-04,90.7
2015-05-05,90.7
2015-05-06,90.7
2015-05-07,90.7
2015-05-08,90.7
2015-05-09,90.7
2015-05-10,90.7
2015-05-11,90.7
2015-05-12,90.7
2015-05-13,90.7
2015-05-14,90.7
2015-05-15,90.7
2015-05-16,90.7
2015-05-17,90.7
2015-05-18,90.7
2015-05-19,90.7
2015-05-20,90.7
2015-05-21,90.7
2015-05-22,90.7
2015-05-23,90.7
2015-05-24,90.7
2015-05-25,90.7
2015-05-26,90.7
2015-05-27,90.7
2015-05-28,90.7
2015-05-29,90.7
2015-05-30,90.7
2015-05-31,90.7
2015-06-01,96.1
2015-06-02,96.1
2015-06-03,96.1
2015-06-04,96.1
2015-06-05,96.1
2015-06-06,96.1
2015-06-07,96.1
2015-06-08,96.1
2015-06-09,96.1
2015-06-10,96.1
2015-06-11,96.1
2015-06-12,96.1
2015-06-13,96.1
2015-06-14,96.1
2015-06-15,96.1
2015-06-16,96.1
2015-06-17,96.1
2015-06-18,96.1
2015-06-19,96.1
2015-06-20,96.1
2015-06-21,96.1
2015-06-22,96.1
2015-06-23,96.1
2015-06-24,96.1
2015-06-25,96.1
2015-06-26,96.1
2015-06-27,96.1
2015-06-28,96.1
2015-06-29,96.1
2015-06-30,96.1
2015-07-01,93.1
2015-07-02,93.1
2015-07-03,93.1
2015-07-04,93.1
2015-07-05,93.1
2015-07-06,93.1
2015-07-07,93.1
2015-07-08,93.1
2015-07-09,93.1
2015-07-10,93.1
2015-07-11,93.1
2015-07-12,93.1
2015-07-13,93.1
2015-07-14,93.1
2015-07-15,93.1
2015-07-16,93.1
2015-07-17,93.1
2015-07-18,93.1
2015-07-19,93.1
2015-07-20,93.1
2015-07-21,93.1
2015-07-22,93.1
2015-07-23,93.1
2015-07-24,93.1
2015-07-25,93.1
2015-07-26,93.1
2015-07-27,93.1
2015-07-28,93.1
2015-07-29,93.1
2015-07-30,93.1
2015-07-31,93.1
2015-08-01,91.9
2015-08-02,91.9
2015-08-03,91.9
2015-08-04,91.9
2015-08-05,91.9
2015-08-06,91.9
2015-08-07,91.9
2015-08-08,91.9
2015-08-09,91.9
2015-08-10,91.9
2015-08-11,91.9
2015-08-12,91.9
2015-08-13,91.9
2015-08-14,91.9
2015-08-15,91.9
2015-08-16,91.9
2015-08-17,91.9
2015-08-18,91.9
2015-08-19,91.9
2015-08-20,91.9
2015-08-21,91.9
2015-08-22,91.9
2015-08-23,91.9
2015-08-24,91.9
2015-08-25,91.9
2015-08-26,91.9
2015-08-27,91.9
2015-08-28,91.9
