symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_diff_EPU_DUS,stderr_diff_EPU_DUS,tval_diff_EPU_DUS,pval_diff_EPU_DUS,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
1INCH,1616,1616,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00523419192386565,-0.0004501841222837033,10028.736279813264,10082.419676676378,-5004.368139906632,0.672902512350297,0.7341067821797207,1.9881910330877988,-0.07885848617414247,0.15125536273246773,-0.5213599356052128,0.6021893539909209,-0.1523462800016828,0.22001307135872697,-0.6924419492934817,0.48876190518929763,-0.17204943739921047,0.18330489634257124,-0.9385970633194332,0.348081572262418,0.18711587079749925,0.30596432225151216,0.6115610781693828,0.5409164566217116,0.19671487459312692,0.19551190691465323,1.0061529126151831,0.31449656888854255,-0.13978937448146844,0.3460332715070251,-0.403976686613589,0.6862847072674836,0.6923516727246299,0.5394778218055174,1.2833737453885987,0.19954996208351558,-0.3047537980466402,0.6390044904311037,-0.47691965019062443,0.6334855020134234,0.8436724646258282,0.7018939658446482,1.201994183851639,0.22954647273416642,-0.09689202857066576,0.17082797579991696,-0.56719063793246,0.5706654956979167
AAVE,1694,1694,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.01423810697240635,0.008874227264275558,10688.091909050221,10742.261705264033,-5334.045954525111,2.850480374826299,0.0024548234575356657,1.9165713998460714,0.047779772516789346,0.14934167251649189,0.3199359677153274,0.7490572795047441,-0.6652015189678133,0.1415610400780098,-4.699043738314171,2.8302963677464883e-06,-0.05587552244607013,0.1607811410124461,-0.3475253508851812,0.7282408934324269,0.008143375657990476,0.3649915935230453,0.022311132098652868,0.9822024601341952,0.107374911637733,0.3460388641943782,0.31029726064936447,0.7563740074195643,0.021759476861548048,0.4779429136753582,0.04552735533668385,0.9636924669237571,0.7647200649762871,0.47284892712576165,1.617260865166133,0.1060126651795715,0.40012458036964893,0.7140176337163409,0.5603847320787699,0.5752929365915722,0.2851886230319407,0.7061466400546741,0.40386600580562093,0.6863634644550711,-0.12246477923517328,0.15078139734980514,-0.8122008509515352,0.41679326814210216
ADA,2738,2738,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0067260472465455745,0.003412679724387968,17225.375865177106,17284.41552151743,-8602.687932588553,2.0270984201891817,0.032856911860239126,2.0769594381402623,0.0727749750644831,0.11101492166128497,0.6555422818432024,0.5121745649114515,-0.14416729750039795,0.10651884733419065,-1.3534440252445616,0.17602719891719376,-0.15600674853806493,0.12054980181002227,-1.2941269599424163,0.19573233176882662,-0.305267064527486,0.22196256200339518,-1.3753087988001174,0.1691499096428705,0.058731419556602465,0.13658759802549297,0.4299908659762852,0.6672366258255538,0.35521544795191295,0.2092626081527983,1.697462585826817,0.08972456670183185,0.5924876301333103,0.2613125551958519,2.26735232713654,0.023447501136707113,-0.004774411391702649,0.31781519018253146,-0.01502260288112897,0.9880152586642044,0.48760252972323836,0.23806938542659745,2.0481530157668173,0.04064160437859667,-0.0916936407091848,0.19925677775424946,-0.46017827720908877,0.6454253447787933
ALGO,2170,2170,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00865977449531341,0.004471012979096467,13735.152881341211,13791.83849242137,-6857.576440670606,1.8451755671711483,0.055903160637897076,2.0533453803693713,-0.09404472525265012,0.12813665829714083,-0.7339408292868567,0.463065580075698,-0.07382372581048544,0.22532303274907495,-0.3276350620253602,0.7432198068126495,-0.1474080755072818,0.1339271747752527,-1.1006584418334204,0.27116970916270433,-0.09370708609484102,0.13819135294371251,-0.6780965964853776,0.49778410397001693,0.09509049570009513,0.13578412416850494,0.7003064333359771,0.4838124381187108,0.32555548367706755,0.16493058653786766,1.9738939302342249,0.048522841224661335,0.5563103360652131,0.3535477905862987,1.573508167432378,0.11574971288357443,-0.16642257663509247,0.3575098209385423,-0.4655049089230512,0.6416175129364796,0.5956854637074431,0.27187579892180125,2.1910205544950996,0.028558298368333807,0.1988181540825693,0.2045297714133074,0.9720743963518337,0.3311239121342434
ALPHA,1693,1693,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008603856391151687,0.0032060552462760405,11137.456308211624,11191.620093003554,-5558.728154105812,0.9114853991560908,0.5140848473838009,2.019490610943204,0.01809514859428261,0.17288732150292618,0.10466440475206473,0.9166548054015357,-0.20768749884790932,0.23132449496689214,-0.8978188793955183,0.3694128655575114,-0.20055742612040633,0.17038508997506197,-1.1770831951889715,0.2393317608413079,0.08973260899196765,0.2778975217700488,0.32289819794153646,0.7468131795673538,0.3217440860876188,0.2299925877073115,1.3989324147136002,0.16202085158797638,-0.17060557972493962,0.3273222141926897,-0.5212160138465477,0.6022861173885543,1.055361721414578,0.5692511019992996,1.8539476124121346,0.06392468436630006,-0.2380270792905017,0.7469291447110288,-0.31867424236416614,0.7500138085456344,0.9154812464309052,0.7214349605478709,1.2689726676617834,0.20462946470498528,-0.16971283127575315,0.17105104120330172,-0.9921765461459071,0.32125662274058586
ANT,2627,2627,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.019023743725911313,0.015650115026458855,18496.135497193423,18554.87147509028,-9238.067748596712,1.4560374641213967,0.1586156007476289,2.153569460397143,0.024995901469135016,0.1592554307936999,0.15695478229257254,0.875292592179473,-1.0691630303343276,0.44395034550789975,-2.408294173329577,0.016095996446009623,0.10876587693750522,0.13443504313727458,0.8090589655737455,0.41855477751779435,-0.22894656163085278,0.3044086969305603,-0.7521025645436096,0.4520570190941847,0.14627971241456567,0.16902723765843053,0.8654209489607056,0.3868871122314198,0.4706845573233496,0.3090627242071564,1.522941851143014,0.1278940746863986,0.257203104986451,0.3567634664360876,0.7209345383814059,0.47101418617476265,-0.2476747362751683,0.42239126402744903,-0.5863633019149591,0.5576819705603406,0.41243280149944894,0.29368083304213755,1.4043572310361594,0.16033116773357883,0.012344642689122942,0.31456156412845543,0.039243963970378284,0.9686988758192656
BAL,1801,1801,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.02358662306423609,0.018596435447869375,11248.443408411633,11303.23640478946,-5614.221704205816,2.580040976033742,0.0059444704067994,1.8939707152512681,-0.14667855893933177,0.14014157865686916,-1.0466455447777432,0.29540672273348884,-0.7864479116878407,0.21355149912716415,-3.682708456284506,0.0002377322026342654,-0.022543296471003005,0.15363159788502412,-0.14673606719806503,0.883357145088472,-0.19828049199632652,0.2493353386566754,-0.795236219079842,0.4265832755752875,-0.4490900766357966,0.20129220138815437,-2.2310356463825953,0.025804250314698966,0.7274662737551199,0.26644101904542433,2.730308855451035,0.006390549079426118,0.3211788054204075,0.48035040226741055,0.6686344050183758,0.5038163542149899,0.11996178643572863,0.6736947833585843,0.17806548217232837,0.8586920304902846,0.06518579165719832,0.49567621416491964,0.13150881521926314,0.8953878358737049,-0.06411526586858311,0.14719079550014985,-0.4355929027404288,0.6631855056539105
BAT,2794,2794,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00494701181608026,0.0016952046651523833,17702.37269959683,17761.61704144571,-8841.186349798416,0.7205319545624084,0.6905253681052597,2.0455835130988036,-0.019478565827015855,0.1115000216446413,-0.1746956237290739,0.8613316478905237,-0.35159607178078295,0.22394988836280205,-1.5699765440882572,0.11653544605000764,-0.07684476196755949,0.11210625608717513,-0.6854636364611455,0.49310909186127894,0.147670622299052,0.25527158620568163,0.5784843683310229,0.5629844500184751,-0.06141229357707879,0.14538669226182588,-0.4224065670775549,0.6727612601008288,-0.10957217290128175,0.2687010814322838,-0.40778463680614324,0.683463490897112,0.3158276049855162,0.27205943192194065,1.1608772493362167,0.24579243540066337,0.11152666790758414,0.32278814232028147,0.3455104239762425,0.7297370632367985,0.11112015941370215,0.2521827191599286,0.4406335207418881,0.6595129150720168,-0.054453376711392804,0.24351925807292124,-0.22361014542466648,0.8230772538002508
BCH,2860,2860,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0010655385840931952,-0.002122550122553468,18269.142228793873,18328.622548700245,-9124.571114396937,0.5125193571709649,0.8665265456935265,1.9765704373468385,0.008000675590130107,0.1137535384101985,0.07033342172864498,0.9439332687053272,0.11708272137705326,0.08050192197113852,1.4544090191912393,0.14594422967771375,-0.028836114135735405,0.10428735171050522,-0.2765063419750321,0.7821794525439157,-0.1296372891727952,0.211622912266992,-0.6125862638599339,0.540199336566462,0.042709459909279254,0.1487544469654302,0.28711383612756614,0.7740462526265119,0.09782600018738082,0.1777841259515637,0.550251602407028,0.5821903948137732,0.24433856643429092,0.24831922286987035,0.9839696001397948,0.325214871783599,0.09475387793452861,0.3344754435965042,0.28329098517867674,0.77697458134919,0.22572969345005867,0.20554867915001207,1.0981811918398086,0.27221913145696125,-0.16009086664254346,0.2031576869242346,-0.7880128439454401,0.4307554246781906
BNB,2877,2877,9,"log_daily_return,diff_EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008628412596400237,0.005483419897551967,18037.78461985847,18097.32483073125,-9008.892309929235,1.93194658913085,0.043426818045146975,1.9726944789143144,0.31576773476470177,0.1063962071419474,2.9678476634361926,0.003024009768671355,0.2951442381623208,0.24060275103912196,1.226686880709566,0.22004209515004253,0.06083334002008085,0.09577798507847297,0.6351495071674225,0.525382132886366,-0.11950563842751522,0.49811221733934785,-0.23991709953602655,0.8104118572101682,0.12463150400220739,0.12201014294224767,1.021484779844906,0.30711191196418997,-0.18684239945401032,0.5111075106767939,-0.36556379147432005,0.7147178510415328,0.399261732764753,0.2451269526332895,1.6287957259520518,0.10346729745968952,0.2468083119611662,0.309077698431753,0.7985316094090936,0.42462889769132006,0.04076519175336449,0.18633086987459585,0.2187785189904401,0.8268383177107966,-0.30748691870720746,0.18490387810364728,-1.6629554872550951,0.09643180467395214
