symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_EPU_DUS,stderr_EPU_DUS,tval_EPU_DUS,pval_EPU_DUS,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
1INCH,1616,1616,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0051255457530758886,-0.0005558438968111812,10034.514491470793,10088.20419549274,-5007.257245735396,0.6806791915031436,0.7270621853100229,2.001107885080376,-0.06764753147836505,0.15291622344611114,-0.44238295946541323,0.6582728107311118,-0.1492355167870478,0.2129478563047857,-0.7008077910559082,0.4835264271592913,0.16917803932166287,0.1823294658400122,0.927869988222917,0.35361709208947867,0.1949158772332169,0.3054272241462954,0.6381745365955162,0.5234527866322425,0.21614049538665828,0.19420642046316205,1.1129420689140233,0.2659030335265928,-0.15787749181300684,0.3453628608385983,-0.45713511704661614,0.6476369343048527,0.6080529598987439,0.5336115728867893,1.1395048210990506,0.2546658180016783,-0.4881848861610738,0.6947299297958263,-0.7026973579568483,0.48234815215941684,0.9075754413238425,0.7125683706260539,1.273667873479225,0.20296895499847326,-0.10425691495129344,0.17100061231745595,-0.6096873779477734,0.5421568056093641
AAVE,1694,1694,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.014177256256555748,0.008813045438121003,10688.194623982485,10742.364420196296,-5334.097311991242,2.823282855966289,0.0026869781019291214,1.9165259715446115,0.04936481803192386,0.15169140592038494,0.32542923399255014,0.7448973940726755,-0.6665531477354086,0.14259683483301397,-4.674389501814443,3.1874151191513026e-06,0.03349380090888952,0.20626089442027143,0.16238560878458858,0.8710220381396174,0.015779628682183106,0.36572094086555196,0.0431466370091837,0.9655898508281178,0.11237097058622085,0.3468255755427528,0.32399851253867235,0.7459801250262487,0.013547329698872207,0.47872656803243907,0.028298679462373653,0.9774273477223105,0.7364357663548774,0.4857244379035166,1.5161595935618986,0.12967008570598085,0.36990983478015743,0.7627813457464613,0.4849487167494402,0.6277769424820134,0.2835770679130657,0.7042960930678329,0.4026389904817398,0.6872658536731182,-0.1223244768798691,0.1508804681693803,-0.8107376545421777,0.41763298221114864
ADA,2738,2738,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0060866025428291115,0.002771101958279565,17227.118646316736,17286.15830265706,-8603.559323158368,1.930018590247107,0.0436937784032252,2.0755339726448634,0.0724463869115146,0.11118420338018142,0.6515888472375219,0.5147219416816582,-0.1534253175874813,0.10544075300294896,-1.4550855643376361,0.14576190886951956,-0.056622400090785494,0.16426866461161369,-0.34469386005334535,0.7303514008082268,-0.30185775935758014,0.22193984863884456,-1.3600881554568571,0.1739156599865734,0.06542424741866268,0.1366574354965432,0.4787463424946066,0.6321578877116719,0.3530512992243092,0.20916560328355288,1.687903238783001,0.09154538174393399,0.624933793813364,0.2786349038514225,2.24284102664539,0.024987949582586922,-0.03790318452643651,0.3305965203933251,-0.11465088767825336,0.9087303743256414,0.5464166792111739,0.27149245419613227,2.012640391163248,0.04425165723105961,-0.09137958415296032,0.19913809626853565,-0.45887545309128547,0.64636057062371
ALGO,2170,2170,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008355083269174779,0.004165034325241734,13735.810515344794,13792.496126424952,-6857.905257672397,1.7995987378978218,0.06358257374115737,2.0515707884991636,-0.09521152249530496,0.128285557358835,-0.7421842680932761,0.45805753126562043,-0.08030129566201849,0.22333279794307512,-0.359558902237397,0.7192126647831194,-0.12696758519417484,0.15997233121322507,-0.7936846592861198,0.42746744035773643,-0.09104020137875143,0.13820353458737056,-0.6587400362122935,0.5101339188749547,0.10117293968455973,0.1354876310479692,0.7467319260216425,0.45530780796955406,0.3276221579870084,0.1645469704616283,1.9910555452214087,0.046602335911472115,0.6300963211620156,0.36976244530030233,1.7040571025277684,0.08851627166325413,-0.24074221335369161,0.36637776734972444,-0.6570873966920927,0.5111957130461289,0.7133557167693549,0.3048562868567194,2.3399737762489634,0.0193769967734693,0.202031187858887,0.2046806859256509,0.9870554563818185,0.3237275611948738
ALPHA,1693,1693,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008235510557032089,0.0028357038994479833,11138.074068688486,11192.237853480416,-5559.037034344243,0.8136858659500695,0.6035859265703108,2.023170922696277,0.026300234002040367,0.1741335142226432,0.1510348775733859,0.8799666317853683,-0.19482270248125777,0.233452318276176,-0.834528883327605,0.40410360509053045,0.1735963920198758,0.19826969252619173,0.8755568731057747,0.3813981846186535,0.09063313682631377,0.27798956755862936,0.32603071267125444,0.7444423868176047,0.31565681296529746,0.23089552750955808,1.3670979960936256,0.17178046862245955,-0.17427571321071073,0.327615107848908,-0.5319526146244895,0.5948302990394344,0.909367667681789,0.5863502819514544,1.5508949098741596,0.1211182954369555,-0.3953362556598219,0.7961346480299429,-0.4965695898779086,0.6195586295293716,0.9086504604000355,0.71966139286535,1.262608317478614,0.20690806504732792,-0.1689181293813054,0.17114298434580943,-0.9870000223905847,0.32378707360890646
ANT,2627,2627,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.019703792227353967,0.016332502250298586,18494.31373349905,18553.049711395906,-9237.156866749525,1.7169699161494776,0.07983376663018768,2.15367147902987,0.02499590146914981,0.15920022038850506,0.15700921398319007,0.8752496981206994,-1.0737807229746563,0.4440584904294674,-2.418106501997425,0.01566938104210109,0.3262269102409043,0.19401231851433412,1.6814752420826402,0.09278995868014606,-0.22027246804073894,0.30406146206272966,-0.7244340224717312,0.4688640774207615,0.1427767744583826,0.16886329203780562,0.8455169429387727,0.39789957392274644,0.46254217960947985,0.30880827760105856,1.4978296022460453,0.13429812843938316,0.06096029156088632,0.3787566887047277,0.1609484225066978,0.8721464466965854,-0.020529501668978184,0.4368142258816461,-0.0469982442250876,0.9625182129348402,0.12233079556355178,0.3291948040731339,0.3716060947802043,0.7102162339909799,-0.006975214518863487,0.31368680958550377,-0.022236237883512935,0.9822612062921521
BAL,1801,1801,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.023573186320751116,0.01858293003278233,11248.46777955355,11303.260775931378,-5614.233889776775,2.581992294012062,0.005907101612127266,1.8939254122497813,-0.14680680712483926,0.14089434981297852,-1.0419637644781985,0.29757150184656844,-0.7858898508673919,0.21327168937532914,-3.68492345687914,0.00023569006044590803,-0.006930075219923268,0.18740344294197314,-0.03697944451356248,0.9705055867114688,-0.19741270477627326,0.2491414601055556,-0.7923719508291954,0.4282505571107753,-0.4475526952635029,0.20140258282539453,-2.2221795221539318,0.026397805755463202,0.7262002884635872,0.26571050775636806,2.733050697149868,0.0063378190509097345,0.32784356682412596,0.514276064581464,0.6374855634997063,0.5238914822513527,0.12042230496120321,0.6764951927147446,0.17800910672839218,0.8587362976399198,0.07103911332311896,0.47976159248223965,0.14807169735194833,0.8823031373824681,-0.06401085812581982,0.14663194499041327,-0.43654101519286825,0.662497763688596
BAT,2794,2794,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004833631198574939,0.0015814535227532955,17702.687623704092,17761.93196555297,-8841.343811852046,0.7365518120788596,0.6756403353504543,2.045442622658424,-0.019100541200236,0.11153324322346793,-0.17125424356186048,0.8640364384417714,-0.352994467399473,0.2230083224813341,-1.5828757576032562,0.11356460793516383,0.05400406550506964,0.13244713510719805,0.4077405333181473,0.6834958693738197,0.15466207688919176,0.2547699276067259,0.6070656703562556,0.5438573757375169,-0.05751402193609703,0.14545745878984043,-0.3954009812531809,0.692577609466708,-0.12139692433257741,0.26804893768387483,-0.45289089888409717,0.6506629805843915,0.2876248736934584,0.28979267897622296,0.9925194615322135,0.32103138466394654,0.1456797680465609,0.32192152145591196,0.45253193196812147,0.6509214664170446,0.05472914415795263,0.281217962212077,0.19461468153545375,0.8457089632509106,-0.056507654970425925,0.243512833042242,-0.23205206175160215,0.8165148189199221
BCH,2860,2860,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0011157216768489242,-0.002072206870991078,18269.000055582957,18328.48037548933,-9124.500027791479,0.5471574931247285,0.8406912587125347,1.976938270698112,0.008428494715669064,0.11368980117557462,0.07413589106953124,0.9409075149611635,0.11935986582399444,0.07984570809848492,1.4948814240180721,0.1350572792500901,0.06719476395543747,0.1368634640965486,0.4909620284638987,0.6234915074757199,-0.12919543602344255,0.21160690190391013,-0.6105445279006527,0.5415503571114784,0.04392179319758127,0.14816403733599917,0.2964403102621831,0.7669156743672076,0.09736012883729828,0.1775396060097724,0.5483854055186944,0.5834707040852616,0.20821802718572474,0.2638522797733175,0.7891462122844282,0.4300928955800766,0.13662958130790628,0.34032044096148223,0.4014733317866444,0.6881020891097738,0.15458518173075303,0.24929617649143315,0.6200864526137857,0.5352509730499205,-0.16286805998884335,0.2027301659988137,-0.8033735837309797,0.42182654684714616
BNB,2877,2877,9,"log_daily_return,EPU_DUS,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008542781641553754,0.00539751729004645,18038.030522407284,18097.570733280063,-9009.015261203642,1.9508518125392849,0.041100031952773675,1.9732489180749844,0.31596643634091603,0.10638300103623562,2.970083878657392,0.0030021518100348163,0.29708872773313777,0.23950806470760513,1.2404122094837513,0.21492554105517223,0.03581017924647284,0.1111236584308823,0.3222552222643604,0.7472830968523035,-0.11442907958229992,0.4983533005120384,-0.22961437089857445,0.8184079914217739,0.12113451349294532,0.12156048490591966,0.9964958068956042,0.31909428757892194,-0.19182265181156866,0.5113011283161722,-0.37516571192260634,0.7075652734436235,0.3790890751170844,0.2631622383940319,1.440514708457053,0.14983217914105765,0.26840104284353306,0.3048369305483048,0.8804741681421764,0.3786770723062435,0.0026326062632161668,0.2216393755737912,0.011877881610164,0.9905238796529107,-0.30850172393425435,0.18439730965164622,-1.6730272503273487,0.09443218341773882
