symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_InvSIX,stderr_InvSIX,tval_InvSIX,pval_InvSIX,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
1INCH,1616,1616,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004524115249891936,-0.0011607089650516045,10035.472984845946,10089.162688867895,-5007.736492422973,0.5943068689668659,0.8026491353128141,1.998534152157746,-0.07860173548817857,0.15334600384153135,-0.5125776578397574,0.6083186141760947,-0.15212934315473509,0.21330406163588903,-0.7132041555515269,0.4758250250256638,0.007350219741949798,0.16993494624558608,0.043253138358766006,0.9655052255476484,0.1918956746370068,0.3054921805459886,0.6281524924600123,0.5299950611680284,0.213005572567841,0.19399903352952597,1.097972338792205,0.2723842853736224,-0.15238916784588505,0.3448893141982897,-0.4418494907565354,0.6586587426960147,0.688821528451514,0.5984047892505938,1.1510962826921098,0.24986723504726832,-0.29851216273171405,0.7130449159634898,-0.4186442621617385,0.6755331797953746,0.8320506374162752,0.8797498120368007,0.9457809777644712,0.3444052886145117,-0.09832667631772657,0.17089838765023607,-0.5753516909648313,0.5651356018189402
AAVE,1694,1694,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.014595405653746174,0.009233470134328847,10687.4886672479,10741.658463461712,-5333.74433362395,3.008011678884075,0.0014477126228398234,1.9174674546082604,0.03716368031327666,0.15247256868231715,0.24374010770887392,0.8074623358787569,-0.6599996782135544,0.14018108394544568,-4.7081935710413445,2.7078041383196407e-06,0.15312199184242867,0.1840334683860163,0.8320333968887127,0.4055102024075212,0.016817987031153947,0.364979229829119,0.04607929892073043,0.9632526081448902,0.11585050117116434,0.34317506023932404,0.33758426702212074,0.7357193365383394,0.00985313344546513,0.47653510829476786,0.020676616001544062,0.9835061166880076,0.6037848588965375,0.5278056970349113,1.143952902154068,0.2528086978139542,0.547482361367071,0.7650742286782182,0.7155937827273698,0.47434321762882026,-0.0071084165236845465,0.8531788381942701,-0.008331684056685369,0.9933533595892821,-0.13646269011817158,0.15225655482817832,-0.8962680803606116,0.3702400259784072
ADA,2738,2738,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.00603854021818484,0.0027228793071261137,17227.249592965305,17286.289249305628,-8603.624796482653,1.9271488281063904,0.044059361627816596,2.075790709175455,0.07270836842905987,0.1109722505674911,0.6551941413933936,0.5123986230863664,-0.1534128069241518,0.10537401380551081,-1.4558884243254353,0.14553981539611469,0.01675622629136989,0.11853176834785685,0.14136485538792568,0.887592270652475,-0.302084586818733,0.22205291355234133,-1.3604171275488668,0.17381160498814702,0.06519963267452826,0.13667213238620357,0.47705140423425385,0.6333641554178746,0.35319744415301296,0.20922739635746604,1.68810323266449,0.09150698589700236,0.5926099856298527,0.2620951579651962,2.2610489649280194,0.02383555418283592,-0.008388648341700194,0.3187505026040421,-0.026317286633805663,0.9790062132448296,0.490240447883704,0.23552261560066187,2.0815005244121716,0.037482185021311065,-0.09075187707187503,0.19830891798169403,-0.4576288247422759,0.6472559803958067
ALGO,2170,2170,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008338161616927575,0.00414804117305545,13735.847032475307,13792.532643555465,-6857.9235162376535,1.9709446525359076,0.03889377098913683,2.0523373857498624,-0.09527142022888599,0.12802322960878007,-0.7441729170559224,0.45685395704021037,-0.07951086416801031,0.22396668297240743,-0.35501201836259727,0.7226157354398526,0.0997626276801588,0.12189523295586525,0.8184292794803548,0.4132036586027531,-0.09093969731704746,0.1385933882798308,-0.6561618735623459,0.511790850884281,0.10102627149775723,0.13553361099162695,0.745396442687552,0.45611433678621505,0.3297056778837192,0.16529394577592962,1.994662758735665,0.04620691234461459,0.5318500428191767,0.3575790815344536,1.4873634121349788,0.1370668681729921,-0.19321382195133224,0.35880966125848335,-0.5384855616029322,0.5902981375899059,0.5895562288781754,0.27321061137951946,2.1578818842406426,0.031048477439186338,0.19661937792408501,0.20462359740533362,0.9608832041722283,0.33671995946724176
ALPHA,1693,1693,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008035116078661364,0.002634218344062522,11138.410058086172,11192.573842878102,-5559.205029043086,0.8319151875756003,0.5866405928871239,2.018833153373717,0.008951928116132737,0.17406052884512008,0.05142997195014963,0.9589891160942506,-0.20637525341829682,0.2310139878998619,-0.8933452701044003,0.37180234099492326,0.13325994885963693,0.1879400914686447,0.7090554645274799,0.478390047770582,0.09666426051327712,0.27706041853543784,0.34889234999445845,0.7272145627148594,0.3226739114635777,0.22977021360362965,1.404333078700156,0.1604075501316058,-0.1782850985047163,0.3266291065606269,-0.545833469595044,0.5852540657872134,0.9157684837833493,0.5973793140178262,1.5329765565936924,0.12547298752253525,-0.11188377280845063,0.8086525600759621,-0.13835827440890144,0.8899741242178705,0.6626564319463775,0.8732041460960182,0.7588791634911812,0.4480330376501278,-0.18221332908456683,0.17346461306951574,-1.0504351628856143,0.29367162917285317
ANT,2627,2627,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.018862704434105204,0.015488521912097819,18496.566716090136,18555.302693986992,-9238.283358045068,1.3945407550685494,0.18466949574606528,2.153273571571363,0.024995901469135606,0.15926850212400534,0.15694190085164467,0.8753027432550347,-1.0767260630770572,0.4427524794666934,-2.4318916618468203,0.015086859815578935,-0.029215119070961044,0.15347889437386603,-0.19035268132564626,0.8490475384888738,-0.24024324349625878,0.30342264521553625,-0.7917775659941334,0.4285621445143746,0.14304768688624497,0.16891996225955136,0.8468370758125512,0.39716337144308567,0.47861491958515084,0.3083155779971443,1.552353996169418,0.12069846133473852,0.25992113443195086,0.3577593280469451,0.7265251079570567,0.4675818971753256,-0.2395766366972369,0.42522376716999516,-0.563413090222352,0.5732018952712785,0.411485930605172,0.29358214542790084,1.4016040723642251,0.1611520947540657,0.00906367713876343,0.31353381504017497,0.028908132724382685,0.9769400635879169
BAL,1801,1801,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.02387425402837262,0.018885536416933357,11247.921631987085,11302.714628364913,-5613.960815993542,2.6441315528778286,0.00482858321441286,1.8945178709822135,-0.14961551961328373,0.1413034516849346,-1.058824238397818,0.28982504328313197,-0.7864861432805696,0.212011533189563,-3.709638487342853,0.0002139939309765369,0.11052946847040895,0.16111846496140017,0.6860136639018313,0.4927947974205412,-0.19661722265423676,0.249677812907324,-0.7874837590283507,0.43110470657177447,-0.4465673173979754,0.20170872736283463,-2.2139216445240266,0.026961866121141785,0.7244467984115537,0.26665530835582535,2.7167912121398703,0.006656335107417314,0.19958165683594503,0.5133822319065241,0.388758403450715,0.6975018715581751,0.04894249462398237,0.65545939609455,0.07466899538796515,0.9404865576259311,0.011788897022109363,0.5274037022585596,0.02235270054348207,0.9821691427884637,-0.07087062930677088,0.14911261886156138,-0.4752825739890488,0.6346445215140952
BAT,2794,2794,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004907030257630729,0.0016550924480152052,17702.483755800655,17761.72809764953,-8841.241877900327,0.735572298875901,0.6765524122333408,2.0452851094479714,-0.019929638963790075,0.1113411165770784,-0.17899621969385704,0.8579538367643957,-0.3540967403368549,0.223203151742252,-1.586432528272516,0.11275602847082171,0.06636825512227773,0.10919952510946287,0.6077705471314955,0.5433897782513079,0.15581881600254333,0.2554025950846616,0.6100909661896428,0.5418518866957229,-0.057872088279596286,0.14560399003802318,-0.3974622416905162,0.6910574274456575,-0.12042302947558862,0.26853264146573813,-0.44844838533699566,0.6538649077055099,0.30919507610846736,0.27208367277194967,1.1363970243360508,0.2558893143875746,0.09096707238826174,0.32195951449444915,0.2825419603800219,0.7775492092441035,0.12070596383754494,0.2506355679609792,0.4815994985050858,0.6301287475675447,-0.046513741396879194,0.2428901946789916,-0.19150110797330727,0.8481471296650929
BCH,2860,2860,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0011363890752649208,-0.0020514735127927786,18268.941500909634,18328.421820816005,-9124.470750454817,0.5238806865804652,0.8582611698663165,1.9769944500271888,0.007592256596355998,0.11356932288180963,0.06685129754852177,0.9467048241857665,0.11784623035254038,0.07975632391517354,1.4775785112397877,0.1396322989497927,0.059135042022900805,0.10790255787630176,0.5480411510790368,0.5837070240924229,-0.1281121181157947,0.21166585721986533,-0.6052564159306988,0.545057338391691,0.04430420117397041,0.14821502999424402,0.2989184104722104,0.765024325108382,0.09702079644734478,0.17762782032188504,0.546202707838954,0.5849698130242138,0.23799078147495012,0.2476657897555723,0.9609352252881971,0.3366671220404239,0.0757695427592765,0.3344037392015318,0.2265810272941153,0.8207659687664782,0.2343406382025916,0.20554813665359725,1.1400766847987402,0.25435117480177377,-0.15253460623636228,0.20282906338211903,-0.7520352541834465,0.45209262041385034
BNB,2877,2877,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.009800213059235174,0.006658937739366655,18034.417477650262,18093.95768852304,-9007.208738825131,2.0192236583973284,0.033612684359718675,1.9736602368103793,0.31427674575168535,0.10612653513327462,2.961339926503903,0.003088448781810404,0.29045015815423775,0.23823541379067487,1.2191728909348518,0.22287993471632989,0.20805512927011885,0.10212459887483909,2.0372675296879756,0.04171586753209025,-0.1123344904201361,0.4981574492175587,-0.22549997113678935,0.8216065900709855,0.12222207922864034,0.12153600644393103,1.0056450166891555,0.3146721245252483,-0.1930926352756439,0.5112092183180895,-0.3777174361427418,0.705668769323857,0.3757827752614716,0.24482946870059125,1.5348755901644617,0.12492589782180404,0.1790366557397165,0.30767727369292386,0.5818975629587883,0.5606819167193509,0.07082690609165801,0.18331988869528196,0.38635691192998667,0.6992613298605013,-0.27936683180486055,0.1848355395143641,-1.5114346112163681,0.1307891303210419
BSV,2389,2389,9,"log_daily_return,InvSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.004128418392348676,0.000312818462817388,15343.32748119744,15400.987411991517,-7661.66374059872,1.0521539435429594,0.39555364453577296,2.0796543428707612,-0.03620577537622338,0.1272785401467326,-0.284460957318364,0.7760822238201708,0.12298370016403026,0.18657500948471717,0.6591649144421143,0.5098544856024738,-0.04604500735500522,0.11955393618816393,-0.3851400365650509,0.700168536345432,-0.18564872695644288,0.17312884454650837,-1.0723154044187666,0.28368854213820116,-0.06836594805436007,0.1252703316778699,-0.5457473221206255,0.5852914590359095,-0.25607759974387106,0.1457615341092973,-1.7568256351628049,0.07907781036588966,-0.06225152767641236,0.3819509796265231,-0.1629830292287318,0.8705458162452435,-0.16873334575295632,0.4688911802488429,-0.3598560878526414,0.7189871062406332,0.07900626156415272,0.23183128005671066,0.3407920688909028,0.7332905977169395,-0.02487496984459158,0.222799771352088,-0.11164719646539467,0.9111126873893229
