symbol,n,nobs,n_regs,regs_used,opt_hac_lag,r2,adj_r2,aic,bic,log_likelihood,fstat,f_pval,durbin_watson,coef_Intercept,stderr_Intercept,tval_Intercept,pval_Intercept,coef_log_daily_return,stderr_log_daily_return,tval_log_daily_return,pval_log_daily_return,coef_TwitSIX,stderr_TwitSIX,tval_TwitSIX,pval_TwitSIX,coef_log_diff_AdrActCnt,stderr_log_diff_AdrActCnt,tval_log_diff_AdrActCnt,pval_log_diff_AdrActCnt,coef_log_diff_volume_trusted_spot_usd_1d,stderr_log_diff_volume_trusted_spot_usd_1d,tval_log_diff_volume_trusted_spot_usd_1d,pval_log_diff_volume_trusted_spot_usd_1d,coef_log_diff_TxCnt,stderr_log_diff_TxCnt,tval_log_diff_TxCnt,pval_log_diff_TxCnt,coef_log_UnemRt,stderr_log_UnemRt,tval_log_UnemRt,pval_log_UnemRt,coef_log_IndPro,stderr_log_IndPro,tval_log_IndPro,pval_log_IndPro,coef_log_CPIPrc,stderr_log_CPIPrc,tval_log_CPIPrc,pval_log_CPIPrc,coef_log_TotRes,stderr_log_TotRes,tval_log_TotRes,pval_log_TotRes
1INCH,1616,1616,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008425447426323451,-0.001568025108013904,5935.736341739013,5983.793567273183,-2957.8681708695067,1.0477514239881367,0.399703300165312,1.9981338407059746,-0.16530769155324682,0.6972828252751206,-0.23707409039943417,0.8126536864694534,-0.18514413990367218,0.26511702693777417,-0.6983487331695505,0.4851409406194579,-0.3112464017993987,0.1470577623033433,-2.1164908055473837,0.03457917762336656,0.18233242216258444,0.4339572278314129,0.42016219679930844,0.6744680444110509,0.1656759521816552,0.25158428800842186,0.6585306001943537,0.5103669848869954,-0.06681560557249935,0.5070965627224809,-0.13176110919344877,0.8952029283490724,0.5356142997387567,1.0585725490904765,0.5059778852181228,0.6129970525793644,-0.16049531939874212,0.8374358294335296,-0.19165088685936293,0.8480592472457789,0.5348131980704649,1.4782121975575564,0.3617973109369104,0.7175890922735866,-0.05937374981413851,0.20925502150042605,-0.28373870977341215,0.7766763972947585
AAVE,1694,1694,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.022726179647571954,0.013668028892503181,6495.911987317064,6544.797711912717,-3237.955993658532,4.267061145551377,1.894157879591205e-05,1.891174973752474,0.2728095843779039,0.6298604950373332,0.43312699641804636,0.6650187043168848,-0.667407025587822,0.13619872905580235,-4.900244152163687,1.1210943483293967e-06,-0.32471424637238255,0.10948246452274504,-2.965901871024496,0.003091842157045438,0.04790859961488831,0.5573187258421717,0.08596265905562925,0.931513822840127,-0.0022165557475044145,0.48870172707500414,-0.004535600397344668,0.9963820585080807,0.1823732490139019,0.8020457036554742,0.22738510808386792,0.8201721654705136,1.0684345031507387,1.057824983057444,1.0100295609039502,0.3127327464129676,0.8769774793578493,0.9052774374299075,0.9687389115182169,0.33291670263853745,0.4387035197938818,1.420346946847979,0.30887067470905516,0.7574861623892047,-0.022386798658506943,0.2074747191725598,-0.10790133249867186,0.9140962511465744
ADA,2738,2738,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.008197775547877817,0.003767889681838499,13096.113698757239,13152.246948552645,-6538.0568493786195,2.339091767484661,0.012744239153854591,2.0843111786037096,-0.05121177859158849,0.13022087298805274,-0.39326858602988307,0.694162721485572,-0.144900283716777,0.09650558351929595,-1.5014704686781641,0.13339059879866533,-0.027667156662836187,0.18855373699463512,-0.14673353657065621,0.8833570252948653,-0.33526673036183313,0.2845756542664569,-1.1781286464087775,0.2388844383507983,0.16337913333110732,0.15408177071659848,1.060340445019998,0.2891168237787848,0.40849143858288073,0.26927542258985154,1.5170023118117129,0.12942296128219188,0.5981904198578392,0.2685165815021864,2.2277597029998253,0.026006570362883053,0.04879827248439378,0.32968117015891873,0.14801655933479965,0.8823445093115383,0.2600010071488662,0.3237129519717048,0.8031838255628166,0.4219632222752535,-0.07311876074706367,0.2131087671086221,-0.34310536229508964,0.7315549881778237
ALGO,2170,2170,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.010186627838422835,0.0040302212389381475,9565.188730157299,9618.030078219252,-4772.594365078649,1.805040946957251,0.0629418644868716,2.0759483845465323,-0.059421665419139194,0.22403549769311906,-0.2652332600458443,0.7908675532213384,-0.14921746925488932,0.2724110328086647,-0.5477658805386795,0.5839371509207021,-0.11036401403858714,0.19029165218892577,-0.5799729665966393,0.5620231411368752,0.06510761204385149,0.21571566681947194,0.3018214346867014,0.7628315612841495,0.15422605669723763,0.16964892066479365,0.9090895249606109,0.363454260518539,0.2585491815035418,0.17174186167099617,1.505452304918188,0.13242607699676412,0.5967095505124819,0.376778514325823,1.583714378141189,0.11347724816769658,-0.1670944255297817,0.3781090664324891,-0.44192123480756634,0.6586122396753289,0.7005022764583664,0.47917266508028583,1.4618994936637226,0.14398588524937758,0.24768193646610004,0.23277744372079182,1.0640289390031519,0.28749311586588266
ALPHA,1693,1693,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.013419250246170633,0.004265408238145474,6850.145887713658,6899.021413430304,-3415.072943856829,1.324425316798496,0.21959064400651016,2.0380258752809506,0.86633844757758,0.8481184592746603,1.0214828342711726,0.30728042535481553,-0.27427995067630284,0.2752859827565588,-0.9963455019751383,0.31933077968634,-0.21207880189428435,0.12915857903929603,-1.6420032139697056,0.10091347196224336,0.008826793691537077,0.46357307195701214,0.019040781756960206,0.9848124879187414,0.6391582868430346,0.35124616503212314,1.819687588004215,0.06911472331130314,-0.4702061422852147,0.5448995521962126,-0.8629226072769801,0.3883933191082094,2.1047618384269526,1.264276173506322,1.664795938208376,0.09627641439489673,0.19419284792627756,0.9734256575926237,0.19949427715572585,0.8419179303145341,2.435999302935791,1.7980783575131356,1.3547792802005265,0.17580333531674075,-0.0274184428600924,0.24040809954965608,-0.11404958032384906,0.9092220915758138
ANT,2627,2627,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.019173778507548755,0.01498817585537604,15299.901742552735,15356.488738135418,-7639.950871276367,1.2811782175080106,0.24184875946993875,2.157043169579888,0.03342726245726772,0.1711014253360825,0.19536518992526744,0.8451258852328277,-1.0645976732148388,0.4468777587777321,-2.3823017644168503,0.017292950057239385,-0.14176509064877657,0.26092354387399486,-0.5433204246115779,0.5869666236694013,-0.19196607335310295,0.39934143827500057,-0.48070662083634896,0.6307748857777911,0.1311502053319475,0.17778403710797325,0.7376939317240067,0.4607825278808656,0.4988825869269919,0.41341887394642507,1.2067242653068666,0.22767368611764963,0.181790502263399,0.3718714866324823,0.4888530279899118,0.6249965825710824,-0.30803432281186693,0.4391610700532931,-0.7014153662902916,0.48312122258434576,0.40670461806968794,0.38636842099489493,1.0526342112081197,0.29262925785881094,0.046844830266517715,0.33283121722558534,0.1407465040599463,0.8880836468340152
BAL,1801,1801,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.02534632731557862,0.017209144519512054,7168.998677945482,7218.919642219641,-3574.499338972741,1.8310013745846565,0.058847849129818997,1.8751655237528593,0.011672074090974968,0.5430063175587131,0.02149528230804223,0.9828545446717774,-0.7597192024193199,0.24110645701886652,-3.1509699566439737,0.00167213144289397,-0.09599176422660306,0.11155329430017301,-0.8605013848206381,0.38970405715739875,-0.21884487493659677,0.28311354885296375,-0.7729932948219825,0.4396958025567299,-0.4574706237432319,0.2537864588693903,-1.8025809012082339,0.07173327157256168,0.7569488176283756,0.34414648425974514,2.199496006058476,0.028054385741127695,0.6430444601278026,1.111857626540806,0.5783514406682018,0.5631476714433624,0.29760588107561,0.7880255121066639,0.3776602108731313,0.7057573724371737,0.407616996989695,1.3438356437450978,0.30332354919067234,0.7617018287908516,-0.02773698165035212,0.2057347260735489,-0.13481915367285308,0.8927800290300905
BAT,2794,2794,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.005885418674897336,0.0015652683939093581,13670.156179988326,13726.562218252262,-6825.078089994163,0.8104472371303765,0.6065902236919413,2.0519369541449857,-0.14403213889872285,0.1388167591889487,-1.0375702454101763,0.2995913021562303,-0.38384193486670454,0.24932470011594443,-1.5395263072138663,0.12382862724352231,-0.008834416387249341,0.17711700735950595,-0.04987898406231283,0.9602236345777656,0.05788064628149941,0.3019028376157442,0.19171945099492146,0.8479807635844192,-0.07450751100754016,0.17464433968500467,-0.42662425327912035,0.6696973713790197,0.003526523767223441,0.3219581746318047,0.010953359924022481,0.9912617129671708,0.326447329167618,0.28335279053206885,1.1520879274018367,0.24941791612387582,0.1633095062363925,0.3361734334936834,0.4857894466531694,0.627167848395685,-0.11700425357726976,0.3473856707143519,-0.33681370143064987,0.7362914705007981,-0.028332398114101293,0.26332703381728145,-0.10759395912901486,0.9143282109765505
BCH,2860,2860,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.0019798387932228323,-0.0022233345576714303,14113.015030427021,14169.733298405808,-7046.5075152135105,0.5834306543035855,0.8117176613267827,1.9710330886870695,-0.11536485250358372,0.12225820360302536,-0.9436164535688379,0.345472347695835,0.11992282338532026,0.0801892782969358,1.495496978302432,0.1349324418688689,0.006308812597281985,0.18050802610065697,0.03495031624668031,0.9721226226555958,-0.07084118250417504,0.310335279764158,-0.2282730553806561,0.8194558101136155,0.16164171195072274,0.19855787340486453,0.8140785816190286,0.4156906355944149,-0.10272329362342675,0.29413466510800435,-0.3492389908741543,0.726944304814382,0.28050638847315534,0.2622067513832349,1.06979086920296,0.2848342688421166,0.1519710817103127,0.3471165061932737,0.4378100119090722,0.6615682580370589,0.03136396079835779,0.28786363009405014,0.10895423221096265,0.9132490207442618,-0.1492600005406433,0.21409492956775358,-0.697167377303103,0.485773885973685
BNB,2877,2877,9,"log_daily_return,TwitSIX,log_diff_AdrActCnt,log_diff_volume_trusted_spot_usd_1d,log_diff_TxCnt,log_UnemRt,log_IndPro,log_CPIPrc,log_TotRes",0,0.011581887111312694,0.007452006416791779,14185.141664715038,14241.938801114702,-7082.570832357519,2.213078003386844,0.018806955010788377,1.9752946986440783,0.13179573316298382,0.11262786058443738,1.1701876647490452,0.24205490953967754,0.30033836621320636,0.2434543252604269,1.2336538522859666,0.21746651057772698,0.26869405181063405,0.18817801485717375,1.4278716459761338,0.15347376936941812,-0.11307979719544951,0.5002460105772067,-0.2260483738090642,0.8211852435485013,0.16599059821463175,0.18276143629330613,0.9082364506494709,0.36385491132760284,-0.20075006475033014,0.5151963385379615,-0.3896573980320284,0.6968284246528522,0.4764076505043978,0.25198448463442163,1.8906229532170151,0.058808798852015474,0.3459361585367573,0.3191906895250129,1.0837915073636524,0.27857854727637693,-0.2931962046234795,0.27208257360830024,-1.0776000856474373,0.2813329293276719,-0.2424694396777658,0.19764419569779054,-1.226797674587498,0.22003272162672752
