Symbol,Primary_Category,Secondary_Category,Token_Type,Description,Final_Category
1INCH,Utility Tokens,,Governance Tokens,DEX aggregator governance token for protocol decisions,Utility Tokens
AAVE,Utility Tokens,,Governance Tokens,DeFi lending protocol governance token,Utility Tokens
ADA,Payment Tokens,Utility Tokens,Platform Tokens,Cardano blockchain native token and staking mechanism,Hybrid_UP
ALCX,Asset Tokens,,Yield Tokens,Alchemix synthetic asset representing future yield,Asset Tokens
ALGO,Payment Tokens,Utility Tokens,Platform Tokens,Algorand blockchain native token and consensus mechanism,Hybrid_UP
ALPHA,Asset Tokens,,Yield Tokens,Alpha Finance leveraged yield farming protocol token,Asset Tokens
ANT,Utility Tokens,,Governance Tokens,Aragon DAO governance platform token,Utility Tokens
APE,Utility Tokens,,Governance Tokens,ApeCoin NFT ecosystem membership and governance token,Utility Tokens
API3,Utility Tokens,Payment Tokens,Network Tokens,Decentralized API oracle network access token,Hybrid_UP
ATOM,Payment Tokens,Utility Tokens,Platform Tokens,Cosmos Hub native token for staking and governance,Hybrid_UP
AUDIO,Utility Tokens,Payment Tokens,Platform Tokens,Audius music streaming platform access token,Hybrid_UP
AVAX,Payment Tokens,Utility Tokens,Platform Tokens,Avalanche blockchain native token and gas fee payment,Hybrid_UP
BADGER,Utility Tokens,,Governance Tokens,Badger DAO Bitcoin DeFi governance token,Utility Tokens
BAL,Utility Tokens,,Governance Tokens,Balancer AMM protocol governance token,Utility Tokens
BAT,Utility Tokens,,Basic Attention Tokens,Brave browser attention-based advertising token,Utility Tokens
BCH,Payment Tokens,,Cryptocurrencies,Bitcoin Cash peer-to-peer electronic cash,Payment Tokens
BIT,Utility Tokens,,Governance Tokens,BitDAO treasury and investment governance token,Utility Tokens
BNB,Payment Tokens,,Exchange Tokens,Binance exchange token and BSC gas payment,Payment Tokens
BNT,Utility Tokens,Payment Tokens,Platform Tokens,Bancor automated market maker protocol token,Hybrid_UP
BSV,Payment Tokens,,Cryptocurrencies,Bitcoin Satoshi Vision cryptocurrency,Payment Tokens
BTC,Payment Tokens,,Cryptocurrencies,Bitcoin original peer-to-peer electronic cash,Payment Tokens
BTG,Payment Tokens,,Cryptocurrencies,Bitcoin Gold mining-focused cryptocurrency,Payment Tokens
BUSD,Payment Tokens,Asset Tokens,Stablecoins,Binance USD fiat-pegged stablecoin,Hybrid_AP
CEL,Utility Tokens,,Access Tokens,Celsius lending platform yield and ,Utility Tokens
COMP,Utility Tokens,,Governance Tokens,Compound lending protocol governance token,Utility Tokens
CRO,Payment Tokens,,Exchange Tokens,Crypto.com exchange and payment platform token,Payment Tokens
CRV,Utility Tokens,,Governance Tokens,Curve Finance DEX governance token,Utility Tokens
CVC,Utility Tokens,Asset Tokens,Identity Tokens,Civic decentralized identity verification token,Hybrid_UA
CVX,Asset Tokens,,Yield Tokens,Convex Finance Curve yield optimization token,Asset Tokens
DAI,Payment Tokens,Asset Tokens,Stablecoins,MakerDAO decentralized algorithmic stablecoin,Hybrid_AP
DASH,Payment Tokens,,Cryptocurrencies,Dash privacy-focused digital cash,Payment Tokens
DCR,Utility Tokens,,Governance Tokens,Decred hybrid consensus with governance voting,Utility Tokens
DGB,Payment Tokens,,Cryptocurrencies,DigiByte secure blockchain cryptocurrency,Payment Tokens
DOGE,Payment Tokens,,Cryptocurrencies,Dogecoin peer-to-peer digital currency,Payment Tokens
DOT,Payment Tokens,Utility Tokens,Platform Tokens,Polkadot interoperability platform native token,Hybrid_UP
DRGN,Utility Tokens,Payment Tokens,Platform Tokens,Dragonchain enterprise blockchain platform token,Hybrid_UP
ELF,Utility Tokens,Payment Tokens,Platform Tokens,aelf cloud computing blockchain platform token,Hybrid_UP
ENJ,Utility Tokens,Payment Tokens,Platform Tokens,Enjin gaming and NFT platform utility token,Hybrid_UP
ENS,Utility Tokens,,Governance Tokens,Ethereum Name Service governance token,Utility Tokens
EOS,Payment Tokens,Utility Tokens,Platform Tokens,EOS blockchain platform native token,Hybrid_UP
ETC,Payment Tokens,,Cryptocurrencies,Ethereum Classic original Ethereum blockchain,Payment Tokens
ETH,Payment Tokens,,Cryptocurrencies,Ethereum native currency and smart contract gas,Payment Tokens
FIL,Utility Tokens,Payment Tokens,Network Tokens,Filecoin decentralized storage network payment token,Hybrid_UP
