symbol,min,max
1INCH,2020-12-26,2025-05-31
AAVE,2020-10-10,2025-05-31
ADA,2017-12-01,2025-05-31
ALCX,2021-03-04,2025-05-31
ALGO,2019-06-22,2025-05-31
ALPHA,2020-10-11,2025-05-31
ANT,2017-08-29,2024-11-07
APE,2022-03-25,2025-05-31
API3,2020-12-05,2025-05-31
ATOM,2019-04-23,2025-05-31
AUDIO,2020-10-24,2025-05-31
AVAX,2020-09-23,2025-05-31
BADGER,2020-12-06,2025-05-31
BAL,2020-06-25,2025-05-31
BAT,2017-10-06,2025-05-31
BCH,2017-08-01,2025-05-31
BIT,2022-06-22,2025-05-31
BNB,2017-07-15,2025-05-31
BNT,2017-06-10,2025-05-31
BSV,2018-11-15,2025-05-31
BTC,2015-01-01,2025-05-31
BTG,2017-10-25,2025-05-31
BUSD,2019-09-20,2025-05-31
CEL,2019-06-13,2025-05-31
COMP,2020-06-18,2025-05-31
CRO,2019-03-20,2025-05-31
CRV,2020-08-15,2025-05-31
CVC,2017-09-11,2025-05-31
CVX,2021-06-03,2025-05-31
DAI,2019-11-20,2025-05-31
DASH,2015-01-01,2025-05-31
DCR,2016-05-17,2025-05-31
DGB,2015-02-10,2025-05-31
DOGE,2015-01-01,2025-05-31
DOT,2020-08-20,2025-05-31
DRGN,2018-01-03,2025-05-31
ELF,2017-12-22,2025-05-31
ENJ,2017-11-02,2025-05-31
ENS,2021-11-10,2025-05-31
EOS,2018-06-09,2025-05-31
ETC,2016-07-25,2025-05-31
ETH,2015-08-08,2025-05-31
FIL,2020-10-16,2025-05-31
FLOW,2021-02-10,2025-05-31
FTT,2019-08-20,2025-05-31
FUN,2017-09-02,2025-05-31
FXS,2020-12-22,2025-05-31
GALA,2021-08-13,2025-05-31
GAS,2017-08-08,2025-05-31
GLDBLN,2015-01-01,2025-05-31
GLM,2020-11-29,2025-05-31
GNO,2017-05-02,2025-05-31
GNT,2017-02-19,2025-05-31
GRIN,2019-01-29,2025-05-31
GRT,2020-12-18,2025-05-31
GUSD,2018-09-16,2025-05-31
HEDG,2019-11-02,2022-01-27
HT,2019-03-06,2025-05-31
HUSD,2019-07-18,2022-11-17
ICP,2021-05-11,2025-05-31
ICX,2017-09-23,2025-05-31
KNC,2017-09-27,2025-05-31
LDO,2021-09-11,2025-05-31
LEND,2017-12-09,2025-05-31
LINK,2017-09-29,2025-05-31
LOOM,2018-05-03,2025-05-31
LPT,2018-12-20,2025-05-31
LRC,2017-09-02,2025-05-31
LSK,2016-05-25,2025-05-31
LTC,2015-01-01,2025-05-31
LUNA,2020-02-24,2025-05-31
MAID,2015-01-01,2025-01-23
MANA,2017-08-25,2025-05-31
MKR,2017-12-26,2025-05-31
MTL_METAL,2017-10-10,2025-05-31
NEO,2017-07-15,2025-05-31
NMR,2018-12-20,2025-05-31
OGN,2020-01-09,2025-05-31
OMG,2017-07-15,2025-05-31
PAX,2018-11-30,2025-05-31
PAXG,2020-02-15,2025-05-31
PAY,2017-10-03,2025-05-31
PERP,2021-02-04,2025-05-31
POLY,2018-06-15,2025-05-31
POWR,2017-11-02,2025-05-31
PPT,2017-09-20,2022-09-12
QASH,2017-11-06,2024-12-12
QNT,2019-03-16,2025-05-31
QTUM,2017-07-28,2025-05-31
REN,2018-12-07,2025-05-31
REP,2016-10-04,2025-05-31
ROOK,2020-12-23,2025-05-31
RSR,2019-07-17,2025-05-31
SAND,2020-08-15,2025-05-31
SHIB,2021-05-11,2025-05-31
SKL,2020-12-02,2025-05-31
SNT,2017-06-19,2025-05-31
SNX,2020-04-09,2025-05-31
SOL,2020-04-10,2025-05-31
SRM,2020-08-11,2025-05-31
STORJ,2017-10-09,2025-05-31
SUSHI,2020-09-01,2025-05-31
SWRV,2020-09-22,2025-03-27
TRX,2018-06-25,2025-05-31
TUSD,2018-07-06,2025-05-31
UMA,2020-09-08,2025-05-31
UNI,2020-09-18,2025-05-31
USDC,2018-09-28,2025-05-31
USDT,2015-01-01,2025-05-31
VET,2018-07-14,2025-05-31
VTC,2015-01-01,2023-12-10
WAVES,2016-11-21,2025-05-31
WNXM,2020-08-26,2025-05-31
WTC,2017-08-28,2024-06-16
XAUT,2020-01-25,2025-05-31
XEM,2015-04-01,2025-05-31
XLM,2015-09-30,2025-05-31
XMR,2015-01-01,2025-05-31
XRP,2015-01-01,2025-05-31
XTZ,2018-06-30,2025-05-31
XVG,2017-09-30,2025-05-31
YFI,2020-07-25,2025-05-31
ZEC,2016-10-29,2025-05-31
ZIL,2018-01-27,2025-05-31
ZRX,2017-08-11,2025-05-31
